informasjonstype,navn,ingress,beskrivelse,kontekstavhengig_beskrivelse,normeringsniva,eif_niva,status,samhandlingstjenester,ansvarlig,referanse_lenketekst,referanse_url
Krav og prinsipper ,Legemiddelsamstemming og legemiddelgjennomgang,,"Formålet med de faglige rådene er å bidra til god kvalitet i legemiddelbehandlingen ved å gi veiledning om rutiner og gjennomføring av legemiddelsamstemming og legemiddelgjennomgang. Målgruppen for rådene er primært helsepersonell og ledere som har ansvar for organisering og gjennomføring av tiltakene, men også pasienter og pårørende vil kunne ha nytte av rådene.",,,Organisatorisk,Eksisterer,Pasientens legemiddelliste,Helsedirektoratet,Legemiddelsamstemming og legemiddelgjennomgang (hdir.no),https://www.helsedirektoratet.no/faglige-rad/legemiddelsamstemming-og-legemiddelgjennomgang
Krav og prinsipper ,Rekvirentspesifikasjon for e-resept,,Funksjonelle spesifikasjoner for legemiddelmoduler som skal samhandle med e-resept. Spesielt relevant for de som skal utvikle egen funksjonalitet for PLL.,,,Organisatorisk,Eksisterer,Pasientens legemiddelliste,Norsk helsenett (NHN),Rekvirentspesifikasjon for e-resept (nhn.no),https://e-resept.atlassian.net/wiki/spaces/ERDOK/pages/2313421608/Rekvirentspesifikasjon+for+e-resept
Krav og prinsipper ,Felles tilgangsregler for datadeling og dokumentdeling,,"Felles tilgangsregler, krav og retningslinjer er en viktig del av felles tillitsmodell. Dette sier blant annet noe om hvilken informasjon som skal gis tilgang til og hvilke plikter som gjelder. Dette er under etablering i regi av Norsk helsenett",,,Organisatorisk,Under utvikling,Pasientens journaldokumenter,Norsk helsenett (NHN),,
Arbeidsprosess ,Gjøre oppslag i tidligere journalopplysninger,,Informasjonstjenesten gir helsepersonell muligheten til å grave seg dypere ned i innbyggerens sykdoms- og undersøkelseshistorikk fra tidligere besøk i helsetjenesten. Eks. hvis fastende langtidsblodsukker blir målt kan helsepersonell gå inn å journalen og få resultater fra tidligere tester som dagens resultater kan sammenlignes med. ,,,Organisatorisk,Eksisterer,Pasientens journaldokumenter,Helsedirektoratet,,
Arbeidsprosess ,Skaffe seg oversikt over innbyggers tilstand og behov for helsehjelp,,"Informasjonstjenestene i denne kategorien benytter helsearbeiderne til å få oversikt over hvem innbyggeren er og kritisk informasjon om innbyggerens helse. Eks. på
dette er å få oversikt over evt. legemiddelallergier. ",,,Organisatorisk,Eksisterer,Pasientens kritiske informasjon,Helsedirektoratet,,
Kodeverk og terminologi ,Underkategorier av kritisk informasjon ,,"Viser en oversikt over de ulike underkategoriene av kritisk informasjon.
",,,Semantisk,Eksisterer,Pasientens kritiske informasjon,Norsk helsenett (NHN),Underkategorier av kritisk informasjon (OID=7651) (finnkode.no),https://finnkode.helsedirektoratet.no/adm/collections/7651
Kodeverk og terminologi ,Koder for tilgangsbegrensninger i behandlingsrettede helseregistre,,"Kodeverket benyttes for å angi tilgangsbegrensninger i behandlingsrettede helseregistre, herunder EPJ-systemer og nasjonale e-helseløsninger.",,,Semantisk,Eksisterer,"Pasientens journaldokumenter, Pasientens prøvesvar",Helsedirektoratet,Koder for tilgangsbegrensninger i behandlingsrettede helseregistre (OID=9603) (finnkode.no),https://finnkode.helsedirektoratet.no/adm/collections/9603
Kodeverk og terminologi ,Smittetype som kritisk informasjon ,,Angir hvilken type smitte som kan registreres som kritisk informasjon i kjernejournal. Registrering og utveksling av kritisk informasjon i kjernejournal.,,,Semantisk,Eksisterer,Pasientens kritiske informasjon,Norsk helsenett (NHN),Smittetype som kritisk informasjon (OID=7519) (finnkode.no),https://finnkode.helsedirektoratet.no/adm/collections/7519
Kodeverk og terminologi ,Metode for utlevering av vare (7404),,Beskriver metode for ekspedering av varer fra utleverer (apotek eller bandagist).,,,Semantisk,Eksisterer,Pasientens legemiddelliste,Helsedirektoratet,Metode for utlevering av vare (7404) (finnkode.no),https://finnkode.helsedirektoratet.no/adm/collections/7404
Kodeverk og terminologi ,Status søknad SLV (7436),,,,,Semantisk,Eksisterer,Pasientens legemiddelliste,Helsedirektoratet,Status søknad SLV (7436) (finnkode.no),https://finnkode.helsedirektoratet.no/adm/collections/7436
Kodeverk og terminologi ,Kodeverk for dokumenttyper,,Kodeverk som beskriver hvilke dokumenttyper som kan deles gjennom dokumentdelingsløsningen.,,,Semantisk,Eksisterer,Pasientens journaldokumenter,Helsedirektoratet,Dokumenttyper (OID=9602) (finnkode.no),https://finnkode.helsedirektoratet.no/adm/collections/9602
Kodeverk og terminologi ,Intubasjonsproblem som kritisk informasjon,,"Gradering av anatomisk tilgjengelighet ved intubasjon iht Cormack & Lehane. Registrering og utveksling av kritisk informasjon i kjernejournal.
",,,Semantisk,Eksisterer,Pasientens kritiske informasjon,Norsk helsenett (NHN),Intubasjonsproblem som kritisk informasjon (OID=7515) (finnkode.no),https://finnkode.helsedirektoratet.no/adm/collections/7515
Kodeverk og terminologi ,Mulighet for maskeventilasjon,,"Angir om det var problemer med ventilasjon på maske registert som komplikasjon under anestesi i kjernejournal. Registrering og utveksling av kritisk informasjon i kjernejournal
",,,Semantisk,Eksisterer,Pasientens kritiske informasjon,Norsk helsenett (NHN),Mulighet for maskeventilasjon (OID=7516) (finnkode.no),https://finnkode.helsedirektoratet.no/adm/collections/7516
Kodeverk og terminologi ,Pågående behandling som kritisk informasjon ,,Angir pågående viktig behandling registert som kritisk informasjon. Gjelder behandling som normalt ikke kan utledes av pasientens forskrevne resepter. Registrering og utveksling av kritisk informasjon i kjernejournal.,,,Semantisk,Eksisterer,Pasientens kritiske informasjon,Norsk helsenett (NHN),Pågående behandling som kritisk informasjon (OID=7517) (finnkode.no),https://finnkode.helsedirektoratet.no/adm/collections/7517
Kodeverk og terminologi ,Enhet for pakning (7452),,Enhet til bruk i pakningsstørrelse og nevner for styrke som pakningsstørrelse beregnes i forhold til.,,,Semantisk,Eksisterer,Pasientens legemiddelliste,Direktoratet for medisinske produkter,Enhet for pakning (7452) (finnkode.no),https://finnkode.helsedirektoratet.no/adm/collections/7452
Kodeverk og terminologi ,Reaksjonstyper (7497),,Kodeverket inneholder reaksjonstyper for legemiddelallergi,,,Semantisk,Eksisterer,"Pasientens kritiske informasjon, Pasientens legemiddelliste",Helsedirektoratet,Reaksjonstyper (7497) (finnkode.no),https://finnkode.helsedirektoratet.no/adm/collections/7497
Kodeverk og terminologi ,Produktgruppe (7403),,"Kodeverk for medisinsk forbruksmateriell og dietetiske næringsmidler som kan forskrives på blå resept, og for brystproteser som refunderes etter folketrygdloven § 10-7i.",,,Semantisk,Eksisterer,Pasientens legemiddelliste,Helfo,Produktgruppe (7403) (finnkode.no),https://finnkode.helsedirektoratet.no/adm/collections/7403
Kodeverk og terminologi ,Typer av kritisk informasjon,,"Oversikt over hovedkategorier av kritisk informasjon
",,,Semantisk,Eksisterer,Pasientens kritiske informasjon,Norsk helsenett (NHN),Typer av kritisk informasjon (OID=7650) (finnkode.no),https://finnkode.helsedirektoratet.no/adm/collections/7650
Kodeverk og terminologi ,Status resept (7408),,,,,Semantisk,Eksisterer,Pasientens legemiddelliste,Helsedirektoratet,Status resept (7408) (finnkode.no),https://finnkode.helsedirektoratet.no/adm/collections/7408
Kodeverk og terminologi ,Prosedyreendringer som kritisk informasjon ,,Endringer i behandlingsprosedyrer registrert som kritisk informasjon. Gjelder andre prosedyreendringer enn avgrensning av livsforlengende behandling. Registrering og utveksling av kritisk informasjon i kjernejournal,,,Semantisk,Eksisterer,Pasientens kritiske informasjon,Norsk helsenett (NHN),Prosedyreendringer som kritisk informasjon (OID=7522) (finnkode.no),https://finnkode.helsedirektoratet.no/adm/collections/7522
Kodeverk og terminologi ,Implantater som kritisk informasjon,,Angir type implantat registert som kritisk informasjon. Registrering og utveksling av kritisk informasjon i kjernejournal.,,,Semantisk,Eksisterer,Pasientens kritiske informasjon,Norsk helsenett (NHN),Implantater som kritisk informasjon (OID=7518) (finnkode.no),https://finnkode.helsedirektoratet.no/adm/collections/7518
Kodeverk og terminologi ,Alvorlighetsgrad ,,Angir alvorlighetsgrad ved registrering av overfølsomhetsreaksjon i kjernejournal. Registrering og utveksling av kritisk informasjon i kjernejournal.,,,Semantisk,Eksisterer,Pasientens kritiske informasjon,Norsk helsenett (NHN),Alvorlighetsgrad (OID=7520) (finnkode.no),https://finnkode.helsedirektoratet.no/adm/collections/7520
Kodeverk og terminologi ,Svar på oppføring i LIB (7493),,Strukturert svar knytte til kommentarer som er gitt på oppføringer i Legemidler i bruk (LIB). Benyttes for å angi strukturet svar i Legemidler i bruk (LIB,,,Semantisk,Eksisterer,Pasientens legemiddelliste,Helsedirektoratet,Svar på oppføring i LIB (7493) (finnkode.no),https://finnkode.helsedirektoratet.no/adm/collections/7493
Kodeverk og terminologi ,Kilde til opplysninger,,Kodeverket inneholder alternativer for å oppgi hvor opplysninger for en allergisk reaksjon kommer fra,,,Semantisk,Eksisterer,Pasientens kritiske informasjon,Helsedirektoratet,Kilde til opplysninger (finnkode.no),https://finnkode.helsedirektoratet.no/adm/collections/7498
Kodeverk og terminologi ,TypeResept (7491),,,,,Semantisk,Eksisterer,Pasientens legemiddelliste,Helsedirektoratet,TypeResept (7491) (finnkode.no),https://finnkode.helsedirektoratet.no/adm/collections/7491
Kodeverk og terminologi ,Kommentar til oppføring i LIB (7495),,Struktuert kommentar til en oppføring i Legemidler i bruk (LIB) (M25),,,Semantisk,Eksisterer,Pasientens legemiddelliste,Helsedirektoratet,Kommentar til oppføring i LIB (7495) (finnkode.no),https://finnkode.helsedirektoratet.no/adm/collections/7495
Kodeverk og terminologi ,Nasjonalt register over enheter i spesialisthelsetjenesten (RESH) (3512),,Oversikt over alle organisatoriske enheter innen spesialisthelsetjenesten.,,,Semantisk,Eksisterer,Pasientens legemiddelliste,Helsedirektoratet,Nasjonalt register over enheter i spesialisthelsetjenesten (RESH) (3512) (finnkode.no),https://finnkode.helsedirektoratet.no/adm/collections/3512
Kodeverk og terminologi ,Kilde til opplysninger (7498),,Kodeverket inneholder alternativer for å oppgi hvor opplysninger for en allergisk reaksjon kommer fra.,,,Semantisk,Eksisterer,Pasientens legemiddelliste,Norsk helsenett (NHN),Kilde til opplysninger (7498) (finnkode.no),https://finnkode.helsedirektoratet.no/adm/collections/7498
Kodeverk og terminologi ,Kritisk medisinsk tilstand - begrunnelse,,"Angir begrunnelse for hvorfor en tilstand bør ansees som kritisk og registreres i kjernejournal.
",,,Semantisk,Eksisterer,Pasientens kritiske informasjon,Norsk helsenett (NHN),Kritisk medisinsk tilstand - begrunnelse (OID=7513) (finnkode.no),https://finnkode.helsedirektoratet.no/adm/collections/7513
Kodeverk og terminologi ,Årsak til seponering (7494),,,,,Semantisk,Eksisterer,Pasientens legemiddelliste,Norsk helsenett (NHN),Årsak til seponering (7494) (finnkode.no),https://finnkode.helsedirektoratet.no/adm/collections/7494
Kodeverk og terminologi ,Hjemmel for refusjon med medisinsk begrunnelse - ny forskrift (7427),,Lovgrunnlag for refusjon.,,,Semantisk,Eksisterer,Pasientens legemiddelliste,Helsedirektoratet,Hjemmel for refusjon med medisinsk begrunnelse - ny forskrift (7427) (finnkode.no),https://finnkode.helsedirektoratet.no/adm/collections/7427
Kodeverk og terminologi ,Annen allergi som kritisk informasjon ,,"Angir annet allergen enn legemidler som årsak til alvorlig allergisk reaksjon registrert som kritisk informasjon.
",,,Semantisk,Eksisterer,Pasientens kritiske informasjon,Norsk helsenett (NHN),Annen allergi som kritisk informasjon (OID=7514) (finnkode.no),https://finnkode.helsedirektoratet.no/adm/collections/7514
Kodeverk og terminologi ,Bekreftelse,,Angir om en registrering av kritisk informasjon er verifisert eller avkreftet. Registrering og utveksling av kritisk informasjon i kjernejournal.,,,Semantisk,Eksisterer,Pasientens kritiske informasjon,Norsk helsenett (NHN),Bekreftelse (OID=7524) (finnkode.no),https://finnkode.helsedirektoratet.no/adm/collections/7524
Kodeverk og terminologi ,Sannsynlighet,,Angir hvor sannsynlig det er at oppgitt allergen er årsaken til den registerte reaksjonen. Benyttes ved registrering av overfølsomhetsreaksjoner i kjernejournal. Registrering og utveksling av kritisk informasjon i kjernejournal.,,,Semantisk,Eksisterer,Pasientens kritiske informasjon,Norsk helsenett (NHN),Sannsynlighet (OID 7521) (finnkode.no),https://finnkode.helsedirektoratet.no/adm/collections/7521
Kodeverk og terminologi ,Helsepersonellregisterets (HPR) klassifikasjon av spesialiteter (7426),,Dette kodeverket inneholder koder for spesialiteter i Helsepersonellregisteret. Kilde: Forskrift om spesialistgodkjenning av helsepersonell og turnusstillinger for leger.,,,Semantisk,Eksisterer,Pasientens legemiddelliste,Helsedirektoratet,Helsepersonellregisterets (HPR) klassifikasjon av spesialiteter (7426) (finnkode.no),https://finnkode.helsedirektoratet.no/adm/collections/7426
Kodeverk og terminologi ,"Ja, nei (1101)",,Dette kodeverket inneholder koder for å angi svar Ja eller Nei.,,,Semantisk,Eksisterer,Pasientens legemiddelliste,Helsedirektoratet,"Ja, nei (1101) (finnkode.no)",https://finnkode.helsedirektoratet.no/adm/collections/1101
Kodeverk og terminologi ,Rolle i forhold til pasient (7490),,Oppgir hvilken rolle en organisasjon eller helseperson har i forhold til en pasient.,,,Semantisk,Eksisterer,Pasientens legemiddelliste,Helsedirektoratet,Rolle i forhold til pasient (7490) (finnkode.no),https://finnkode.helsedirektoratet.no/adm/collections/7490
Kodeverk og terminologi ,Absoluttlisten - oversikt over kritiske medisinske tilstander,,Liste over diagnoser/tilstander som bør registreres som «Kritisk medisinsk tilstand» i kjernejournal. Dette er en dynamisk liste som oppdateres og tilpasses kontinuerlig etter faktiske kliniske behov i tråd med gjeldende kunnskap og praksis.,,,Semantisk,Eksisterer,Pasientens kritiske informasjon,Helsedirektoratet,Absoluttlisten (PDF) (nhn.no),https://www.nhn.no/tjenester/kjernejournal/dokumentasjon-for-kjernejournal/nyttig-dokumentasjon-for-helsepersonell/Absoluttliste%20-%20nettversjon%200721.pdf
Teknisk grensesnitt ,API for kritisk informasjon i kjernejournal,,API i kjernejournal gjør det mulig å integrere kliniske fagsystem med kjernejournal og unngå duplisering av kritisk informasjon.,,,Teknisk,Eksisterer,Pasientens kritiske informasjon,Norsk helsenett (NHN),Kritisk informasjon-API (Alert information) (nhn.no),https://kjernejournal.atlassian.net/wiki/spaces/KJERNEJOURDOK1/pages/836796547/Kritisk+informasjon-API+Alert+information
Teknisk grensesnitt ,Integrating the Healthcare Enterprise - Mobile access to Health Documents (IHE MHD),,"Mobile access to Health Documents (MHD) definerer FHIR-basert standardisert grensesnitt for å dele dokumenter og format-uavhengige metadata, som opprinnelig er definert i XDS.",,,Teknisk,Eksisterer,Pasientens journaldokumenter,Integrating the Healthcare Enterprise (IHE),Mobile access to Health Documents (MHD) (ihe.net),https://profiles.ihe.net/ITI/TF/Volume1/ch-33.html
Teknisk grensesnitt ,Integrating the Healthcare Enterprise - Cross-enterprise User Assertion (IHE XUA),,"XUA er en profil for håndtering av autentisering på tvers av samarbeidsområder. Beskriver sikkerhetsbilletten, som gjelder både innenfor og på tvers av samarbeidsområder.",,,Teknisk,Eksisterer,Pasientens journaldokumenter,Integrating the Healthcare Enterprise (IHE),Cross Enterprise User Assertion (XUA) (ihe.net),https://profiles.ihe.net/ITI/TF/Volume1/ch-13.html
Teknisk grensesnitt ,Integrating the Healthcare Enterprise - Cross Community Access (IHE XCA),,"Når det tillates flere samarbeidsområder, vil profilen XCA kreves for å kunne søke og få tilgang til dokumenter på tvers av samarbeidsområdene.",,,Teknisk,Eksisterer,Pasientens journaldokumenter,Integrating the Healthcare Enterprise (IHE),Cross-Community Access (XCA) (ihe.net),https://profiles.ihe.net/ITI/TF/Volume1/ch-18.html
Teknisk grensesnitt ,Integrating the Healthcare Enterprise - Cross-Enterprise Document Sharing (IHE XDS),,XDS er en profil for å håndtere dokumentdeling på tvers av virksomheter innen samme samarbeidsområde.,,,Teknisk,Eksisterer,Pasientens journaldokumenter,Integrating the Healthcare Enterprise (IHE),XDS specification (ihe.net),https://wiki.ihe.net/index.php/Cross-Enterprise_Document_Sharing
Kodeverk og terminologi ,Kritisk informasjon i kjernejournal - klinisk beskrivelse og kodeverk,,Beskrivelse av kodeverk som brukes i forbindelse med kritisk informasjon i kjernejournal. Dokumentet eies av Norsk Helsenett.,,,Semantisk,Eksisterer,Pasientens kritiske informasjon,Norsk helsenett (NHN),Kritisk informasjon i kjernejournal - klinisk beskrivelse og kodeverk (PDF) (nhn.no),https://www.nhn.no/tjenester/kjernejournal/dokumentasjon-for-kjernejournal/nyttig-dokumentasjon-for-helsepersonell/IE-2006_kritisk%20informasjon_Klinisk%20beskrivelse%20og%20kodeverk_.pdf
Teknisk grensesnitt ,Dokumentasjon av API og FHIR for pasientens prøvesvar,,Teknisk informasjon om FHIR-ressurser og grensesnitt for pasientens prøvesvar.,,,Teknisk,Under utvikling,Pasientens prøvesvar,Norsk helsenett (NHN),Dokumentasjon av API og FHIR for pasientens prøvesvar (nhn.no),https://utviklerportal.nhn.no/informasjonstjenester/pasientens-proevesvar/
Samhandlingskomponent ,Felles API-katalog,,Portal som gir oversikt og informasjon om tilgjengelige APIer. Denne oversikten er tilgjengelig på NHNs utviklerportal. Den blir fortløpende oppdatert med informasjon om APIer,,,Teknisk,Eksisterer,Pasientens kritiske informasjon,Norsk helsenett (NHN),NHN Utviklerportal,https://utviklerportal.nhn.no
Samhandlingskomponent ,Personvern og tilgangsstyring (PTS),,"Den nasjonale personverntjenesten er en samling og tilgjengeliggjøring av tilgangsbegrensninger, herunder personverninnstillinger. ",,,Teknisk,Eksisterer,Pasientens prøvesvar,Norsk helsenett (NHN),Personvern og tilgangsstyring (PTS) (nhn.no),https://utviklerportal.nhn.no/informasjonstjenester/pts/
Informasjonslager ,Lager for svarrapporter for pasientens prøvesvar,,Lager i kjernejournal for svarrapporter til bruk i pasientens prøvesvar.,,,Teknisk,Eksisterer,Pasientens prøvesvar,Norsk helsenett (NHN),Teknisk beskrivelse av pasientens prøvesvar (nhn.no),https://www.nhn.no/tjenester/pasientens-provesvar/teknisk-beskrivelse-svarmeldinger
Samhandlingskomponent ,Sentral forskrivningsmodul - Basis API,,SFM Basis API er tilrettelagt EPJ-systemer som har egenutviklet legemiddelmodul. SFM Basis API vil gi et forenklet og kvalitetssikret grensesnitt mellom EPJ og de sentrale registrene Reseptformidleren (RF) og Kjernejournal (KJ). ,,,Teknisk,Eksisterer,Pasientens legemiddelliste,Norsk helsenett (NHN),SFM Basis API (nhn.no),https://e-resept.atlassian.net/wiki/spaces/SFMDOK/pages/2160493776/SFM+Basis+API
Samhandlingskomponent ,Sentral forskrivningsmodul - Fullversjon,,"SFM  er en legemiddelmodul som vil inngå som en integrert del av EPJ-systemet, men vil driftes og forvaltes sentralt. I SFM lagres legemiddelopplysningene i SFMs sentrale database, men alle data holdes separat for den enkelte virksomhet.",,,Teknisk,Eksisterer,Pasientens legemiddelliste,Norsk helsenett (NHN),SFM Fullversjon (nhn.no),https://e-resept.atlassian.net/wiki/spaces/SFMDOK/pages/2160492688/SFM+Fullversjon
Samhandlingskomponent ,Interaksjonsvarslingstjeneste,,"Formålet med interaksjonsdata er å avverge legemiddelrelaterte problemer som skyldes legemiddelinteraksjoner, for eksempel bivirkninger og manglende effekt. Direktoratet for medisinske produkter har laget et søkeverktøy med uheldige kombinasjoner av legemidler for mennesker. ",,,Teknisk,,Pasientens legemiddelliste,Direktoratet for medisinske produkter,Interaksjonssøk (legemiddelsok.no),https://www.legemiddelsok.no/sider/Interaksjoner.aspx
Samhandlingskomponent ,Personvernkomponenten,,Personvernkomponenten (PVK) er en fellesløsning der en innbyggers innstillinger knyttet til personvern er lagret,,,Teknisk,Eksisterer,"Pasientens journaldokumenter, Pasientens kritiske informasjon",Norsk helsenett (NHN),Om personvernkomponenten (nhn.no),https://helsenorge.atlassian.net/wiki/spaces/HELSENORGE/pages/376602660/Generelt+om+PVK
Samhandlingskomponent ,HelseID,,HelseID er en felles påloggingsløsning for helse- og omsorgssektoren.,,,Teknisk,Eksisterer,"Pasientens journaldokumenter, Pasientens kritiske informasjon, Pasientens legemiddelliste",Norsk helsenett (NHN),Informasjon om HelseID (nhn.no),https://www.nhn.no/tjenester/helseid
Informasjonsmodell ,Informasjonsmodell SFM-fullversjon,,Implementasjonsveileder for sentral forskrivningsmodul. ,,,Semantisk,,Pasientens legemiddelliste,Norsk helsenett (NHN),SFM Fullversjon (nhn.no),https://simplifier.net/guide/sfmapidatadeling?version=current
Forskrift ,Reseptformidlerforskriften,,"Forskriften er hjemlet i pasientjournalloven § 12, som gir behandlingsgrunnlaget for Reseptformidleren. Forskiften gir nærmere bestemmelser om behandling av helseopplysninger i Reseptformidleren. Formålet med reseptformidleren er å sørge for sikker og effektiv formidling av resepter og reseptopplysninger mellom aktører med tjenstlig behov, samt overføring av informasjon til kjernejournal. Hvilke opplysninger som kan behandles i Reseptformidleren følger av reseptformidlerforskriften § 1-7.","Pasientens legemiddelliste: Pasientens legemiddelliste, som er en samlet og oppdatert oversikt over relevante opplysninger om pasientens legemiddelbehandling, kan behandles i Reseptformidleren.",,Juridisk,Eksisterer,"Pasientens kritiske informasjon, Pasientens legemiddelliste",Helse- og omsorgsdepartementet,Forskrift om behandling av helseopplysninger i nasjonal database for elektroniske resepter (Reseptformidlerforskriften) (lovdata.no),https://lovdata.no/dokument/SF/forskrift/2007-12-21-1610
Informasjonsmodell ,Informasjonsmodell SFM-Basis API,,Implementasjonsveileder for FHIR-API i sentral forskrivningsmodul. ,,,Semantisk,,Pasientens legemiddelliste,Norsk helsenett (NHN),SFM Basis API (nhn.no),https://simplifier.net/guide/sfmapibasis?version=current
Samhandlingskomponent ,Reseptformidleren og e-resept,,Reseptformidleren har en sentral i formidlingen av informasjon mellom aktørene i e-resept verdikjeden. Reseprformidleren er en database og meldingsformidler for alle aktive resepter og pasientens legemiddelliste med tilhørende meldinger. Denne siden linker videre til e-resept dokumentasjonen. ,,,Teknisk,Eksisterer,Pasientens legemiddelliste,Norsk helsenett (NHN),Reseptformidleren og e-resept (nhn.no),https://utviklerportal.nhn.no/informasjonstjenester/reseptformidleren-og-e-resept/
