informasjonstype,navn,ingress,beskrivelse,kontekstavhengig_beskrivelse,normeringsniva,eif_niva,status,samhandlingstjenester,ansvarlig,dokumenttype,referanse_lenketekst,referanse_url
"Kodeverk og terminologi ","ICD-10: Den internasjonale statistiske klassifikasjonen av sykdommer og beslektede helseproblemer",,"Klassifikasjon av sykdommer og beslektede helseproblemer.",,"Obligatorisk standard","Semantisk","Eksisterer","Pasientens prøvesvar","Helsedirektoratet",,"ICD-10: Den internasjonale statistiske klassifikasjonen av sykdommer og beslektede helseproblemer (ehelse.no)","https://www.ehelse.no/standardisering/standarder/icd-10-den-internasjonale-statistiske-klassifikasjonen-av-sykdommer-og-beslektede-helseproblemer"
"Kodeverk og terminologi ","Norsk klassifikasjon av radiologiske prosedyrer (NCRP)",,"Kodeverk for radiologi og nukleærmedisin. Kodeverket skal brukes for å dokumentere og skal kunne brukes for å bestille radiologiske tjenester.",,"Obligatorisk standard","Semantisk","Eksisterer","Pasientens prøvesvar","Helsedirektoratet",,"NCRP: Norsk klassifikasjon av radiologiske prosedyrer (ehelse.no)","https://www.ehelse.no/kodeverk-og-terminologi/Norsk-klinisk-prosedyrekodeverk-(NKPK)"
"Kodeverk og terminologi ","Norsk laboratoriekodeverk (NLK)",,"NLK er et felles kodeverk for laboratorieanalyser utarbeidet i samarbeid med de laboratoriefaglige miljøene fordelt på 6 spesialiteter: Immunologi og transfusjonsmedisin, Klinisk farmakologi, Medisinsk biokjemi, Medisinsk genetikk, Medisinsk mikrobiologi og Patologi.",,"Anbefalt standard","Semantisk","Eksisterer","Pasientens prøvesvar","Helsedirektoratet",,"Norsk laboratoriekodeverk (ehelse.no)","https://www.ehelse.no/standardisering/standarder/norsk-laboratoriekodeverk"
"Kodeverk og terminologi ","Absoluttlisten - oversikt over kritiske medisinske tilstander",,"Liste over diagnoser/tilstander som bør registreres som «Kritisk medisinsk tilstand» i kjernejournal. Dette er en dynamisk liste som oppdateres og tilpasses kontinuerlig etter faktiske kliniske behov i tråd med gjeldende kunnskap og praksis.",,,"Semantisk","Eksisterer","Pasientens kritiske informasjon","Helsedirektoratet",,"Absoluttlisten (PDF) (nhn.no)","https://www.nhn.no/tjenester/kjernejournal/dokumentasjon-for-kjernejournal/nyttig-dokumentasjon-for-helsepersonell/Absoluttliste%20-%20nettversjon%200721.pdf"
"Kodeverk og terminologi ","Norsk patologikodeverk",,"Norsk patologikodeverk er et kodeverk som benyttes ved norske patologiavdelinger.",,"Anbefalt standard","Semantisk","Eksisterer","Pasientens prøvesvar","Den norske patologforening",,"Norsk patologikodeverk (ehelse.no)","https://www.ehelse.no/standardisering/standarder/norsk-patologikodeverk"
"Kodeverk og terminologi ","Kritisk informasjon i kjernejournal - klinisk beskrivelse og kodeverk",,"Beskrivelse av kodeverk som brukes i forbindelse med kritisk informasjon i kjernejournal. Dokumentet eies av Norsk Helsenett.",,,"Semantisk","Eksisterer","Pasientens kritiske informasjon","Norsk helsenett (NHN)",,"Kritisk informasjon i kjernejournal - klinisk beskrivelse og kodeverk (PDF) (nhn.no)","https://www.nhn.no/tjenester/kjernejournal/dokumentasjon-for-kjernejournal/nyttig-dokumentasjon-for-helsepersonell/IE-2006_kritisk%20informasjon_Klinisk%20beskrivelse%20og%20kodeverk_.pdf"
"Krav og prinsipper ","Implementation guide for Norwegian usage of IHE XDS, XCA and XUA",,"Implementasjonsguide som beskriver norsk bruk av IHE integrasjonsprofiler basert på XDS, XCA og XUA. Dokumentet beskriver også utvidelser og begrensninger for aktører og transaksjoner i profilene.",,,"Semantisk, Teknisk","Eksisterer","Pasientens journaldokumenter","Norsk helsenett (NHN)","HITS","Implementation guide for Norwegian usage of IHE XDS, XCA and XUA (PDF) (nhn.no)","https://utviklerportal-dev.utvikling.nhn.no/media/2ujlacuk/implementation-guide-for-norwegian-usage-of-ihe-xds-xca-and-xua.pdf"
"Krav og prinsipper ","Kritisk informasjon i kjernejournal - klinisk beskrivelse og kodeverk",,"Beskrivelse av kodeverk som brukes i forbindelse med kritisk informasjon i kjernejournal. Dokumentet eies av Norsk Helsenett.",,,"Organisatorisk, Semantisk","Eksisterer","Pasientens kritiske informasjon","Norsk helsenett (NHN)",,"Kritisk informasjon i kjernejournal - klinisk beskrivelse og kodeverk (PDF) (nhn.no)","https://www.nhn.no/tjenester/kjernejournal/dokumentasjon-for-kjernejournal/nyttig-dokumentasjon-for-helsepersonell/IE-2006_kritisk%20informasjon_Klinisk%20beskrivelse%20og%20kodeverk_.pdf"
"Krav og prinsipper ","Løsningsbeskrivelse for dokumentdeling",,"Utviklerportalen til NHN inneholder blant annet informasjon om løsningskomponenter, grensesnitt og logging for dokumentdeling.",,,"Teknisk","Eksisterer","Pasientens journaldokumenter","Norsk helsenett (NHN)",,"Dokumentdeling (utviklerportal.nhn.no)","https://utviklerportal.nhn.no/informasjonstjenester/pasientens-journaldokumenter-i-kjernejournal/"
"Krav og prinsipper ","Begrepsdefinisjoner for tilgangsbegrensning mv. i behandlingsrettede helseregistre",,"Formålet med begrepsdefinisjonene er enhetlig bruk av begreper for tilgangsbegrensning i behandlingsrettede helseregistre, herunder EPJ-systemer og nasjonale e?helseløsninger.",,,"Organisatorisk, Semantisk","Eksisterer","Pasientens prøvesvar","Helsedirektoratet","HITS","Begrepsdefinisjoner for tilgangsbegrensning mv. i behandlingsrettede helseregistre (ehelse.no)","https://www.ehelse.no/standardisering/standarder/Begrepsdefinisjoner%20for%20tilgangsbegrensning%20mv.%20i%20behandlingsrettede%20helseregistre"
"Krav og prinsipper ","Bruk av XML svarrapport v1.4 i Pasientens prøvesvar",,"Dette dokumentet beskriver hvordan innholdet i meldingsprofilene til standarden Svarrapportering av medisinske tjenester v1.4 danner grunnlaget for presentasjon og tilgjengeliggjøring av data i Pasientens prøvesvar i Kjernejournal.",,,"Semantisk","Eksisterer","Pasientens prøvesvar","Helsedirektoratet","HITS","Bruk av XML svarrapport v1.4 i Pasientens prøvesvar (ehelse.no)","https://www.ehelse.no/standardisering/standarder/Bruk%20av%20XML%20svarrapport%20v1.4%20i%20Pasientens%20pr%C3%B8vesvar"
"Krav og prinsipper ","Målarkitektur for datadeling",,"Målarkitekturen beskriver hvilke egenskaper og funksjoner som er nødvendige for å oppnå datadeling i sektoren samt hvilke felleskomponenter som sektoren ønsker skal etableres/videreutvikles.",,"Retningslinje","Organisatorisk, Semantisk, Teknisk","Eksisterer","Pasientens kritiske informasjon","Helsedirektoratet","HITR","Målarkitektur for datadeling i helse- og omsorgssektoren (ehelse.no)","https://www.ehelse.no/standardisering/standarder/malarkitektur-for-datadeling-i-helse-og-omsorgssektoren#:~:text=M%C3%A5larkitekturen%20beskriver%20hvilke%20egenskaper%20og%20funksjoner%20som%20er,samt%20hvilke%20felleskomponenter%20som%20sektoren%20%C3%B8nsker%20skal%20etableres%2Fvidereutvikles."
"Krav og prinsipper ","Forretningsmessige arkitekturprinsipper for datadeling",,"Disse prinsippene gir organisatoriske føringer for datadeling og handler blant annet om hvordan grensesnitt gjøres tilgjengelige, hvordan de forvaltes og bruk av standarder. Prinsippene er beskrevet i kapittel 4 i referansearkitekturen.",,"Retningslinje","Organisatorisk","Eksisterer","Pasientens kritiske informasjon","Helsedirektoratet","HITR","Referansearkitektur for datadeling, se kap 4.3 og 4.4 (ehelse.no)","https://www.ehelse.no/standardisering/standarder/referansearkitektur-for-datadeling"
"Krav og prinsipper ","Informasjons- og sikkerhetsprinsipper for datadeling",,"Disse prinsippene gir føringer for informasjonssikkerhet og -innhold ved datadeling  og handler blant annet om autentisering og tillitstjenester. Prinsippene er beskrevet i kapittel 4 i referansearkitekturen. ",,"Retningslinje","Semantisk","Eksisterer","Pasientens kritiske informasjon","Helsedirektoratet","HITR","Referansearkitektur for datadeling, se kap 4.3 og 4.4 (ehelse.no)","https://www.ehelse.no/standardisering/standarder/referansearkitektur-for-datadeling"
"Krav og prinsipper ","Tekniske arkitekturprinsipper for datadeling",,"Disse prinsippene gir tekniske føringer for datadeling og handler om god praksis for publisering og bruk av APIer. Prinsippene er beskrevet i kapittel 4 i referansearkitekturen. ",,"Retningslinje","Teknisk","Eksisterer","Pasientens kritiske informasjon","Helsedirektoratet","HITR","Referansearkitektur for datadeling, se kap 4.3 og 4.4 (ehelse.no)","https://www.ehelse.no/standardisering/standarder/referansearkitektur-for-datadeling"
"Krav og prinsipper ","Referansearkitektur for datadeling",,"Referansearkitektur for datadeling er en av flere referansearkitekturer innen elektronisk samhandling i helse- og omsorgssektoren",,"Retningslinje","Organisatorisk, Semantisk, Teknisk","Eksisterer","Pasientens kritiske informasjon","Helsedirektoratet","HITR","Referansearkitektur for datadeling (ehelse.no)","https://www.ehelse.no/standardisering/standarder/referansearkitektur-for-datadeling"
"Krav og prinsipper ","Forretningsmessige arkitekturprinsipper for dokumentdeling",,"Prinsippene gir føringer for det organisatoriske nivået av dokumentdeling og handler om ansvar for bruk og publisering av dokumenter.
Prinsippene er beskrevet i kapittel 6 i målarkitekturen.",,"Retningslinje","Organisatorisk","Eksisterer","Pasientens journaldokumenter","Helsedirektoratet","HITR","Målarkitektur for dokumentdeling, se kap. 6.1 (ehelse.no)","https://www.ehelse.no/standardisering/standarder/malarkitektur-for-dokumentdeling"
"Teknisk grensesnitt ","Dokumentasjon av API og FHIR for pasientens prøvesvar",,"Teknisk informasjon om FHIR-ressurser og grensesnitt for pasientens prøvesvar.",,,"Teknisk","Under utvikling","Pasientens prøvesvar","Norsk helsenett (NHN)",,"Dokumentasjon av API og FHIR for pasientens prøvesvar (nhn.no)","https://utviklerportal.nhn.no/informasjonstjenester/pasientens-proevesvar/"
"Teknisk grensesnitt ","XML-skjema for elektronisk svarrapportering av radiologi og laboratoriesvar",,"En hierarkisk oversikt over hvordan meldingen er strukturert. Den enkelte profilen spesifiserer bruk av XML-skjemaet.",,,"Semantisk, Teknisk","Eksisterer","Pasientens prøvesvar","Helsedirektoratet",,"XML-skjema for svarrapport 1.4 (ehelse.no)","https://git.sarepta.ehelse.no/publisert/standarder/raw/master/skjema/svarrapport/svar-v1.4.xsd"
"Teknisk grensesnitt ","API for kritisk informasjon i kjernejournal",,"API i kjernejournal gjør det mulig å integrere kliniske fagsystem med kjernejournal og unngå duplisering av kritisk informasjon.",,,"Teknisk","Eksisterer","Pasientens kritiske informasjon","Norsk helsenett (NHN)",,"Kritisk informasjon-API (Alert information) (nhn.no)","https://kjernejournal.atlassian.net/wiki/spaces/KJERNEJOURDOK1/pages/836796547/Kritisk+informasjon-API+Alert+information"
"Teknisk grensesnitt ","Integrating the Healthcare Enterprise - Mobile access to Health Documents (IHE MHD)",,"Mobile access to Health Documents (MHD) definerer FHIR-basert standardisert grensesnitt for å dele dokumenter og format-uavhengige metadata, som opprinnelig er definert i XDS.",,,"Teknisk","Eksisterer","Pasientens journaldokumenter","Integrating the Healthcare Enterprise (IHE)",,"Mobile access to Health Documents (MHD) (ihe.net)","https://profiles.ihe.net/ITI/TF/Volume1/ch-33.html"
"Teknisk grensesnitt ","Integrating the Healthcare Enterprise - Cross-enterprise User Assertion (IHE XUA)",,"XUA er en profil for håndtering av autentisering på tvers av samarbeidsområder. Beskriver sikkerhetsbilletten, som gjelder både innenfor og på tvers av samarbeidsområder.",,,"Teknisk","Eksisterer","Pasientens journaldokumenter","Integrating the Healthcare Enterprise (IHE)",,"Cross Enterprise User Assertion (XUA) (ihe.net)","https://profiles.ihe.net/ITI/TF/Volume1/ch-13.html"
"Teknisk grensesnitt ","Integrating the Healthcare Enterprise - Cross Community Access (IHE XCA)",,"Når det tillates flere samarbeidsområder, vil profilen XCA kreves for å kunne søke og få tilgang til dokumenter på tvers av samarbeidsområdene.",,,"Teknisk","Eksisterer","Pasientens journaldokumenter","Integrating the Healthcare Enterprise (IHE)",,"Cross-Community Access (XCA) (ihe.net)","https://profiles.ihe.net/ITI/TF/Volume1/ch-18.html"
"Teknisk grensesnitt ","Integrating the Healthcare Enterprise - Cross-Enterprise Document Sharing (IHE XDS)",,"XDS er en profil for å håndtere dokumentdeling på tvers av virksomheter innen samme samarbeidsområde.",,,"Teknisk","Eksisterer","Pasientens journaldokumenter","Integrating the Healthcare Enterprise (IHE)",,"XDS specification (ihe.net)","https://wiki.ihe.net/index.php/Cross-Enterprise_Document_Sharing"
"Teknisk samhandlingsform ","Samhandlingsform: Direkte tilgang",,"Tilgang til fellesløsning eller løsning i en annen virksomhet, for eksempel ved bruk av en portal",,,"Teknisk","Eksisterer","Pasientens journaldokumenter, Pasientens kritiske informasjon, Pasientens prøvesvar",,,"Oversikt over tekniske samhandlingsformer","https://www.ehelse.no/arkitektur/nasjonal-arkitekturstyring/oversikt-over-digitale-samhandlingsformer#tekniske-samhandlingsformer"
"Teknisk samhandlingsform ","Samhandlingsform: Meldingsutveksling",,"Elektronisk meldingsutveksling innebærer overføring og mottak av strukturerte data fra og til kjente avsendere og mottakere og kan benyttes i den organisatoriske samhandlingsformen sende og motta.",,,"Teknisk","Eksisterer","Pasientens prøvesvar","Helsedirektoratet",,"Oversikt over tekniske samhandlingsformer","https://www.ehelse.no/arkitektur/nasjonal-arkitekturstyring/oversikt-over-digitale-samhandlingsformer#tekniske-samhandlingsformer"
"Teknisk samhandlingsform ","Samhandlingsform: Dokumentdeling",,"Dokumentdeling omhandler deling av godkjente, lesbare dokumenter, inkludert bilder, gjennom felles infrastruktur/tjenester. Der kan en 
konsument søke etter tilgjengelige dokumenter om en gitt pasient hos andre virksomheter og få tilgang til dokumentene. ",,,"Teknisk","Eksisterer","Pasientens journaldokumenter","Helsedirektoratet",,"Oversikt over tekniske samhandlingsformer","https://www.ehelse.no/arkitektur/nasjonal-arkitekturstyring/oversikt-over-digitale-samhandlingsformer#tekniske-samhandlingsformer"
"Klinisk fagsystem ","Klinisk fagsystem",,"Elektronisk system som ivaretar særskilte funksjoner innen klinisk behandling. Eksempelvis fagsystemkategorier som LIMS (laboratoriestøtte), RAD (radiologistøtte) og Føde (fødselsklinikk) og ulike EPJ-systemer.",,,"Teknisk","Eksisterer","Pasientens journaldokumenter","Den enkelte aktør",,"Målarkitektur for dokumentdeling (ehelse.no)","https://www.ehelse.no/standardisering/standarder/malarkitektur-for-dokumentdeling"
"Faktaark ","Bruk av databehandler (faktaark 10)",,"Faktaarket skal sikre at helse- og personopplysninger ikke skal behandles på annen måte enn det som er avtalt med databehandlingsansvarlig.",,,,"Eksisterer","Pasientens journaldokumenter","Normen",,"Bruk av databehandler (faktaark 10) (ehelse.no)","https://www.ehelse.no/normen/normen-dokumenter/bruk-av-databehandler-faktaark-10"
"Nasjonal e-helseløsning ","E-resept",,"E-resept er en løsning for sikker overføring av reseptinformasjon. Løsningen består av et sett ulike meldinger og systemer som håndterer sikker rekvirering og utlevering til pasient.",,,"Organisatorisk","Eksisterer","Pasientens kritiske informasjon, Pasientens legemiddelliste","Norsk helsenett (NHN)",,"Om e-resept (nhn.no)","https://www.nhn.no/tjenester/e-resept/om-e-resept"
"Nasjonal e-helseløsning ","Kjernejournal",,"Kjernejournal er en digital løsning for deling av pasientenes helseopplysninger på tvers av virksomheter og nivåer i helsevesenet.",,,"Organisatorisk","Eksisterer","Pasientens journaldokumenter, Pasientens kritiske informasjon, Pasientens prøvesvar, Pasientens legemiddelliste","Norsk helsenett (NHN)",,"Om kjernejournal (nhn.no)","https://www.nhn.no/tjenester/kjernejournal"
"Informasjonslager ","Dokumentlager (Document Repository)",,"Tjeneste i dokumentdelingsløsninger som tilbyr oppbevaring, henting og tilgjengeliggjøring av dokumenter. Hvert samarbeidsområde må minst ett dokumentlager, men kan også ha flere.",,,"Teknisk","Eksisterer","Pasientens journaldokumenter","Det enkelte samarbeidsområdet",,"Målarkitektur for dokumentdeling (ehelse.no)","https://www.ehelse.no/standardisering/standarder/malarkitektur-for-dokumentdeling"
"Samhandlingskomponent ","Personvern og tilgangsstyring (PTS)",,"Den nasjonale personverntjenesten er en samling og tilgjengeliggjøring av tilgangsbegrensninger, herunder personverninnstillinger. ",,,"Teknisk","Eksisterer","Pasientens prøvesvar","Norsk helsenett (NHN)",,"Personvern og tilgangsstyring (PTS) (nhn.no)","https://utviklerportal.nhn.no/informasjonstjenester/pts/"
"Samhandlingskomponent ","Nasjonalt koblingspunkt (Clinical Affinity Domain / XCA Gateway)",,"Koblingspunkt som gjør det mulig for lokale/regionale koblingspunkter å spørre om og hente dokumenter på tvers av samarbeidsområder uten å kontakte de ulike koblingspunktene direkte.",,,"Teknisk","Eksisterer","Pasientens journaldokumenter","Det enkelte samarbeidsområdet",,"Målarkitektur for dokumentdeling (ehelse.no)","https://www.ehelse.no/standardisering/standarder/malarkitektur-for-dokumentdeling"
"Samhandlingskomponent ","Felles API-katalog",,"Portal som gir oversikt og informasjon om tilgjengelige APIer. Denne oversikten er tilgjengelig på NHNs utviklerportal. Den blir fortløpende oppdatert med informasjon om APIer",,,"Teknisk","Eksisterer","Pasientens kritiske informasjon","Norsk helsenett (NHN)",,"NHN Utviklerportal","https://utviklerportal.nhn.no"
"Samhandlingskomponent ","Personvernkomponenten",,"Personvernkomponenten (PVK) er en fellesløsning der en innbyggers innstillinger knyttet til personvern er lagret",,,"Teknisk","Eksisterer","Pasientens journaldokumenter, Pasientens kritiske informasjon","Norsk helsenett (NHN)",,"Om personvernkomponenten (nhn.no)","https://helsenorge.atlassian.net/wiki/spaces/HELSENORGE/pages/376602660/Generelt+om+PVK"
"Samhandlingskomponent ","Innbygger-STS (Secure Token Service)",,"Komponent som beskriver hvilken innloggingsløsning innbygger har valgt å bruke",,,"Teknisk","Eksisterer","Pasientens kritiske informasjon","Norsk helsenett (NHN)",,"Målarkitektur for datadeling i helse- og omsorgssektoren (ehelse.no)","https://www.ehelse.no/standardisering/standarder/malarkitektur-for-datadeling-i-helse-og-omsorgssektoren#:~:text=M%C3%A5larkitekturen%20beskriver%20hvilke%20egenskaper%20og%20funksjoner%20som%20er,samt%20hvilke%20felleskomponenter%20som%20sektoren%20%C3%B8nsker%20skal%20etableres%2Fvidereutvikles."
"Samhandlingskomponent ","Dokumentregister (Document Registry)",,"En fellestjeneste i en dokumentdelingsløsning som inneholder alle søkbare metadata om dokumentene inkludert, en peker til det dokumentlageret hvor dokumentet er lagret. Registeret tilbyr søk til alle konsumerende virksomheter. I tillegg tilbyr det et grensesnitt for registering av metadata om et dokument.",,,"Teknisk","Eksisterer","Pasientens journaldokumenter","Det enkelte samarbeidsområdet",,"Målarkitektur for dokumentdeling (ehelse.no)","https://www.ehelse.no/standardisering/standarder/malarkitektur-for-dokumentdeling"
"Samhandlingskomponent ","Koblingspunkt for lokalt/regionalt samarbeidsområde (Clinical Affinity Domain / XCA Gateway)",,"Koblingspunkt som gjør det mulig for andre samarbeidsområder å spørre om og hente dokumenter.",,,"Teknisk","Eksisterer","Pasientens journaldokumenter","Det enkelte samarbeidsområdet",,"Målarkitektur for dokumentdeling (ehelse.no)","https://www.ehelse.no/standardisering/standarder/malarkitektur-for-dokumentdeling"
"Informasjonsmodell ","Bruk av laboratoriekodeverk i rekvirering og svarrapportering av medisinske tjenester",,"Dokumentet beskriver hvordan laboratoriekodeverk skal benyttes i meldingsstandardene Svarrapportering av medisinske tjenester og Rekvirering av medisinske tjenester. Dokumentet viser hvordan NLK skal benyttes i XML-meldingene, samt hvordan de ulike XML-elementene benyttes for å angi informasjon om prøvemateriale, anatomisk lokalisasjon, metode og enhet.",,"Anbefalt standard","Semantisk","Eksisterer","Pasientens prøvesvar","Helsedirektoratet","HITS","Bruk av laboratoriekodeverk i rekvirering og svarrapportering av medisinske tjenester (ehelse.no)","https://www.ehelse.no/standardisering/standarder/bruk-av-laboratoriekodeverk-i-rekvirering-og-svarrapportering-av-medisinske-tjenester"
"Informasjonsmodell ","Bruk av standardene Rekvirering av medisinske tjenester og Svarrapportering av medisinske tjenester",,"Dette dokumentet beskriver bruk av standardene for Rekvirering av medisinske tjenester og Svarrapportering av medisinske tjenester slik at standardene skal blir håndtert på en korrekt måte ved sending og mottak. Dokumentet angir lovlig bruk av berørte kodeverk og bruk av id-er ved endringer, kanselleringer, tillegg eller historikk.",,"Anbefalt standard","Semantisk","Eksisterer","Pasientens prøvesvar","Helsedirektoratet","HIS","Bruk av standardene Rekvirering av medisinske tjenester og Svarrapportering av medisinske tjenester (ehelse.no)","https://www.ehelse.no/standardisering/standarder/bruk-av-standardene-rekvirering-av-medisinske-tjenester-og-svarrapportering-av-medisinske-tjenester"
"Informasjonsmodell ","Svarrapportering av medisinske tjenester v1.4",,"Standard som beskriver den overordnede informasjonsmodellen for elektronisk svarrapportering av medisinske tjenester, og dekker laboratoriesvar og radiologisvar. ",,"Obligatorisk standard","Semantisk","Eksisterer","Pasientens prøvesvar","Helsedirektoratet","HIS","Svarrapportering av medisinske tjenester v.1.4 (ehelse.no)","https://www.ehelse.no/standardisering/standarder/svarrapportering-av-medisinske-tjenester-v1.4"
